,First Column
0,com
1,org
2,net
3,int
4,edu
5,gov
6,mil
7,arpa
8,academy
9,accountant
10,accountants
11,active
12,actor
13,ads
14,adult
15,aero
16,africa
17,agency
18,airforce
19,amazon
20,amex
21,analytics
22,apartments
23,app
24,apple
25,archi
26,army
27,art
28,arte
29,associates
30,attorney
31,auction
32,audible
33,audio
34,author
35,auto
36,autos
37,aws
38,baby
39,band
40,bank
41,bar
42,barefoot
43,bargains
44,baseball
45,basketball
46,beauty
47,beer
48,best
49,bestbuy
50,bet
51,bible
52,bid
53,bike
54,bingo
55,bio
56,biz
57,black
58,blackfriday
59,blockbuster
60,blog
61,blue
62,boo
63,book
64,boots
65,boston
66,bot
67,boutique
68,box
69,broadway
70,broker
71,build
72,builders
73,business
74,buy
75,buzz
76,cab
77,cafe
78,call
79,cam
80,camera
81,camp
82,cancerresearch
83,capital
84,car
85,cards
86,care
87,career
88,careers
89,cars
90,casa
91,case
92,cash
93,casino
94,catering
95,catholic
96,center
97,cern
98,ceo
99,cfd
100,channel
101,chat
102,charity
103,cheap
104,christmas
105,church
106,circle
107,city
108,claims
109,cleaning
110,click
111,clinic
112,clothing
113,cloud
114,club
115,coach
116,codes
117,coffee
118,college
119,community
120,company
121,compare
122,computer
123,condos
124,construction
125,consulting
126,contact
127,contractors
128,cooking
129,cool
130,coop
131,country
132,coupon
133,coupons
134,courses
135,cpa
136,credit
137,creditcard
138,cruise
139,cricket
140,cruises
141,cyou
142,dad
143,dance
144,data
145,date
146,dating
147,day
148,deal
149,deals
150,degree
151,delivery
152,democrat
153,dental
154,dentist
155,design
156,dev
157,diamonds
158,diet
159,digital
160,direct
161,directory
162,discount
163,diy
164,docs
165,doctor
166,dog
167,domains
168,dot
169,download
170,drive
171,earth
172,eat
173,eco
174,education
175,email
176,energy
177,engineer
178,engineering
179,edeka
180,entertainment
181,enterprises
182,equipment
183,esq
184,estate
185,events
186,exchange
187,expert
188,exposed
189,express
190,fail
191,faith
192,family
193,fan
194,fans
195,farm
196,fashion
197,fast
